Date Processed,Previous Close,Volume,Market Cap,PE Ratio (TTM),EPS (TTM),Financial Report Date,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Book Value,Book Value per Share,Price to Book Value Ratio,Asset to Liabilities
09/11/20,332.88,"2,826,411",330.5B,45.69,7.23,12/31/2019,"29,236,000","23,319,000","5,917,000","14,420,000","5,893,000","455,000","4,998,000","14,420,000","455,000","8,527,000","1,539,000","1,402,415","1,007,415","395,000",5917000000.0,2093.467652085985,0.15900890547236773,1.253741584115957
09/14/20,330.15,"2,914,254",338.959B,46.86,7.23,12/31/2019,"29,236,000","23,319,000","5,917,000","14,420,000","5,893,000","455,000","4,998,000","14,420,000","455,000","8,527,000","1,539,000","1,402,415","1,007,415","395,000",5917000000.0,2030.3652324059606,0.16260621228663172,1.253741584115957
09/15/20,338.60,"2,395,028",339.499B,46.93,7.23,12/31/2019,"29,236,000","23,319,000","5,917,000","14,420,000","5,893,000","455,000","4,998,000","14,420,000","455,000","8,527,000","1,539,000","1,402,415","1,007,415","395,000",5917000000.0,2470.534791242524,0.13705534574953523,1.253741584115957
09/16/20,339.14,"2,868,770",342.212B,47.31,7.23,12/31/2019,"29,236,000","23,319,000","5,917,000","14,420,000","5,893,000","455,000","4,998,000","14,420,000","455,000","8,527,000","1,539,000","1,402,415","1,007,415","395,000",5917000000.0,2062.5564266218626,0.1644270166976508,1.253741584115957
09/17/20,341.85,"3,285,082",339.79B,46.97,7.23,12/31/2019,"29,236,000","23,319,000","5,917,000","14,420,000","5,893,000","455,000","4,998,000","14,420,000","455,000","8,527,000","1,539,000","1,402,415","1,007,415","395,000",5917000000.0,1801.1726952325696,0.1897930170187595,1.253741584115957
